order_id,customer_id,item_id,plant,order_date,requested_ship_date,promised_ship_date,order_priority,order_qty,current_available_qty,historical_lead_time_days,supplier_reliability_score,num_open_orders_customer,past_due_invoices_flag,weekday_ordered,month_ordered,late_flag
O100000,C0099,ITEM0068,PLANT_B,2024-02-02,2024-02-11,2024-02-11,3,115,98,9.0,0.82,7,0,4,2,1
O100001,C0017,ITEM0044,PLANT_B,2024-10-09,2024-10-13,2024-10-14,1,232,513,5.4,0.88,13,0,2,10,1
O100002,C0314,ITEM0105,PLANT_A,2024-08-26,2024-08-29,2024-08-30,2,386,319,4.1,0.79,17,0,0,8,1
O100003,C0342,ITEM0133,PLANT_A,2024-06-09,2024-06-22,2024-06-18,3,131,301,9.2,0.88,16,0,6,6,0
O100004,C0387,ITEM0053,PLANT_B,2024-06-07,2024-06-16,2024-06-16,2,374,638,8.8,0.87,11,0,4,6,0
O100005,C0476,ITEM0154,PLANT_B,2024-11-09,2024-11-18,2024-11-16,1,449,307,7.3,0.91,1,0,5,11,1
O100006,C0249,ITEM0128,PLANT_C,2024-02-01,2024-02-09,2024-02-07,3,118,376,6.3,0.9,1,0,3,2,0
O100007,C0415,ITEM0034,PLANT_C,2024-09-11,2024-09-17,2024-09-15,2,77,322,4.1,0.99,9,0,2,9,0
O100008,C0359,ITEM0188,PLANT_B,2024-03-14,2024-03-22,2024-03-23,3,472,461,8.7,0.95,13,1,3,3,1
O100009,C0139,ITEM0009,PLANT_B,2024-02-04,2024-02-16,2024-02-13,2,497,716,9.4,0.89,2,0,6,2,0
O100010,C0423,ITEM0131,PLANT_B,2024-07-11,2024-07-18,2024-07-17,1,429,232,5.6,0.87,8,0,3,7,0
O100011,C0027,ITEM0088,PLANT_B,2024-12-22,2024-12-28,2024-12-27,2,307,201,5.5,0.9,8,0,6,12,0
O100012,C0300,ITEM0131,PLANT_A,2024-09-25,2024-10-05,2024-10-04,2,43,219,9.5,0.9,9,0,2,9,0
O100013,C0471,ITEM0155,PLANT_B,2024-10-04,2024-10-10,2024-10-10,3,457,724,5.7,1.0,11,0,4,10,0
O100014,C0330,ITEM0138,PLANT_B,2024-09-18,2024-09-29,2024-09-29,2,100,0,10.6,0.78,6,1,2,9,1
O100015,C0469,ITEM0131,PLANT_B,2024-10-13,2024-10-20,2024-10-20,3,90,247,6.8,0.83,12,1,6,10,1
O100016,C0029,ITEM0169,PLANT_C,2024-07-06,2024-07-13,2024-07-12,2,358,209,6.2,0.81,9,0,5,7,0
O100017,C0267,ITEM0141,PLANT_B,2024-02-16,2024-02-26,2024-02-23,2,195,386,7.1,0.92,18,1,4,2,1
O100018,C0391,ITEM0163,PLANT_A,2024-11-02,2024-11-06,2024-11-08,1,433,681,6.2,0.92,7,0,5,11,1
O100019,C0322,ITEM0081,PLANT_A,2024-06-13,2024-06-24,2024-06-22,2,436,465,9.3,0.85,18,1,3,6,1
O100020,C0441,ITEM0041,PLANT_A,2024-07-01,2024-07-09,2024-07-10,2,402,252,8.8,0.97,19,0,0,7,1
O100021,C0232,ITEM0047,PLANT_A,2024-05-15,2024-05-26,2024-05-24,2,418,318,9.2,0.93,6,0,2,5,0
O100022,C0342,ITEM0123,PLANT_A,2024-03-07,2024-03-14,2024-03-14,3,273,326,7.4,0.98,8,1,3,3,0
O100023,C0210,ITEM0107,PLANT_A,2024-12-04,2024-12-11,2024-12-10,2,436,635,6.1,1.0,14,0,2,12,0
O100024,C0437,ITEM0016,PLANT_A,2024-10-12,2024-10-19,2024-10-19,2,457,516,7.0,0.73,9,0,5,10,1
O100025,C0060,ITEM0041,PLANT_A,2024-08-23,2024-08-27,2024-08-29,1,140,178,6.1,0.95,14,1,4,8,0
O100026,C0128,ITEM0194,PLANT_B,2024-05-26,2024-06-08,2024-06-05,3,213,313,9.9,0.8,5,0,6,5,1
O100027,C0049,ITEM0146,PLANT_B,2024-10-27,2024-11-04,2024-11-05,1,309,592,9.0,0.92,19,1,6,10,1
O100028,C0352,ITEM0151,PLANT_A,2024-07-18,2024-07-25,2024-07-25,2,429,623,6.8,0.89,14,0,3,7,1
O100029,C0117,ITEM0040,PLANT_A,2024-06-10,2024-06-14,2024-06-15,1,195,71,5.1,0.9,2,0,0,6,1
O100030,C0159,ITEM0013,PLANT_A,2024-06-13,2024-06-21,2024-06-23,1,130,28,10.1,0.8,5,0,3,6,1
O100031,C0419,ITEM0059,PLANT_A,2024-03-23,2024-03-30,2024-03-30,2,161,138,7.3,0.98,12,1,5,3,1
O100032,C0181,ITEM0172,PLANT_A,2024-02-03,2024-02-09,2024-02-10,2,399,334,6.7,0.8,6,0,5,2,1
O100033,C0073,ITEM0102,PLANT_A,2024-07-21,2024-07-29,2024-07-31,2,260,427,10.1,0.96,8,0,6,7,0
O100034,C0011,ITEM0157,PLANT_A,2024-11-20,2024-11-26,2024-11-26,2,128,424,6.0,0.79,13,0,2,11,0
O100035,C0114,ITEM0098,PLANT_C,2024-01-24,2024-01-28,2024-01-30,3,357,443,6.4,0.9,7,1,2,1,1
O100036,C0458,ITEM0099,PLANT_B,2024-11-09,2024-11-16,2024-11-16,2,330,575,6.5,1.0,18,0,5,11,0
O100037,C0275,ITEM0121,PLANT_C,2024-10-29,2024-11-02,2024-11-02,2,259,275,4.4,1.0,12,1,1,10,1
O100038,C0498,ITEM0192,PLANT_A,2024-04-11,2024-04-15,2024-04-19,3,310,454,7.6,0.77,8,0,3,4,1
O100039,C0108,ITEM0088,PLANT_A,2024-08-18,2024-08-23,2024-08-23,2,116,266,5.5,0.84,6,0,6,8,0
